bundler, components, iteration, children, depth, styles, time, bundle_size, success
esbuild,2,0,1,1,true,0.2,133838,true
esbuild,2,1,1,1,true,0.19,133838,true
parcel,2,0,1,1,true,2.09,136730,true
parcel,2,1,1,1,true,2.07,136730,true
rollup,2,0,1,1,true,3.63,129834,true
rollup,2,1,1,1,true,3.47,129834,true
rollup-terser,2,0,1,1,true,3.01,133487,true
rollup-terser,2,1,1,1,true,3.05,133487,true
webpack,2,0,1,1,true,2.9,136884,true
webpack,2,1,1,1,true,2.91,136884,true
webpack-swc,2,0,1,1,true,2.01,131158,true
webpack-swc,2,1,1,1,true,1.96,131158,true
esbuild,3,0,1,2,true,0.17,134535,true
esbuild,3,1,1,2,true,0.17,134535,true
parcel,3,0,1,2,true,1.81,137760,true
parcel,3,1,1,2,true,1.81,137760,true
rollup,3,0,1,2,true,3.54,130648,true
rollup,3,1,1,2,true,3.51,130648,true
rollup-terser,3,0,1,2,true,3.1,134291,true
rollup-terser,3,1,1,2,true,3.04,134291,true
webpack,3,0,1,2,true,2.98,138430,true
webpack,3,1,1,2,true,2.97,138430,true
webpack-swc,3,0,1,2,true,1.97,133224,true
webpack-swc,3,1,1,2,true,2,133224,true
esbuild,4,0,1,3,true,0.17,135238,true
esbuild,4,1,1,3,true,0.17,135238,true
parcel,4,0,1,3,true,1.82,138796,true
parcel,4,1,1,3,true,1.8,138796,true
rollup,4,0,1,3,true,3.52,131463,true
rollup,4,1,1,3,true,3.51,131463,true
rollup-terser,4,0,1,3,true,3.11,135096,true
rollup-terser,4,1,1,3,true,3.11,135096,true
webpack,4,0,1,3,true,3.03,139982,true
webpack,4,1,1,3,true,3.03,139982,true
webpack-swc,4,0,1,3,true,2.01,135296,true
webpack-swc,4,1,1,3,true,2.01,135296,true
esbuild,5,0,1,4,true,0.17,135947,true
esbuild,5,1,1,4,true,0.17,135947,true
parcel,5,0,1,4,true,1.83,139836,true
parcel,5,1,1,4,true,1.84,139836,true
rollup,5,0,1,4,true,3.5,132284,true
rollup,5,1,1,4,true,3.51,132284,true
rollup-terser,5,0,1,4,true,3.13,135907,true
rollup-terser,5,1,1,4,true,3.13,135907,true
webpack,5,0,1,4,true,3.07,141542,true
webpack,5,1,1,4,true,3.07,141542,true
webpack-swc,5,0,1,4,true,2.03,137374,true
webpack-swc,5,1,1,4,true,2.04,137374,true
esbuild,6,0,1,5,true,0.17,136662,true
esbuild,6,1,1,5,true,0.17,136662,true
parcel,6,0,1,5,true,1.89,140882,true
parcel,6,1,1,5,true,1.79,140882,true
rollup,6,0,1,5,true,3.59,133111,true
rollup,6,1,1,5,true,3.53,133111,true
rollup-terser,6,0,1,5,true,3.17,136724,true
rollup-terser,6,1,1,5,true,3.11,136724,true
webpack,6,0,1,5,true,3.13,143108,true
webpack,6,1,1,5,true,3.14,143108,true
webpack-swc,6,0,1,5,true,2.04,139458,true
webpack-swc,6,1,1,5,true,2.06,139458,true
esbuild,4,0,3,1,true,0.17,135220,true
esbuild,4,1,3,1,true,0.18,135220,true
parcel,4,0,3,1,true,1.81,138747,true
parcel,4,1,3,1,true,1.81,138747,true
rollup,4,0,3,1,true,3.57,131447,true
rollup,4,1,3,1,true,3.49,131447,true
rollup-terser,4,0,3,1,true,3.12,135078,true
rollup-terser,4,1,3,1,true,3.1,135078,true
webpack,4,0,3,1,true,3.01,139968,true
webpack,4,1,3,1,true,2.99,139968,true
webpack-swc,4,0,3,1,true,2,135278,true
webpack-swc,4,1,3,1,true,2.03,135278,true
esbuild,13,0,3,2,true,0.17,141489,true
esbuild,13,1,3,2,true,0.17,141489,true
parcel,13,0,3,2,true,1.97,147924,true
parcel,13,1,3,2,true,1.89,147924,true
rollup,13,0,3,2,true,3.76,138728,true
rollup,13,1,3,2,true,3.77,138728,true
rollup-terser,13,0,3,2,true,3.34,142269,true
rollup-terser,13,1,3,2,true,3.34,142269,true
webpack,13,0,3,2,true,3.34,154124,true
webpack,13,1,3,2,true,3.35,154124,true
webpack-swc,13,0,3,2,true,2.26,153872,true
webpack-swc,13,1,3,2,true,2.24,153872,true
esbuild,40,0,3,3,true,0.18,160416,true
esbuild,40,1,3,3,true,0.18,160416,true
parcel,40,0,3,3,true,2.09,175627,true
parcel,40,1,3,3,true,2.06,175627,true
rollup,40,0,3,3,true,4.36,160700,true
rollup,40,1,3,3,true,4.51,160700,true
rollup-terser,40,0,3,3,true,3.98,164004,true
rollup-terser,40,1,3,3,true,4.01,164004,true
webpack,40,0,3,3,true,4.16,196463,true
webpack,40,1,3,3,true,4.2,196463,true
webpack-swc,40,0,3,3,true,2.87,210018,true
webpack-swc,40,1,3,3,true,2.86,210018,true
esbuild,121,0,3,4,true,0.18,217683,true
esbuild,121,1,3,4,true,0.17,217683,true
parcel,121,0,3,4,true,2.61,259224,true
parcel,121,1,3,4,true,2.66,259224,true
rollup,121,0,3,4,true,6.13,227120,true
rollup,121,1,3,4,true,5.99,227120,true
rollup-terser,121,0,3,4,true,5.85,229695,true
rollup-terser,121,1,3,4,true,5.85,229695,true
webpack,121,0,3,4,true,6.43,324004,true
webpack,121,1,3,4,true,6.3,324004,true
webpack-swc,121,0,3,4,true,4.78,379065,true
webpack-swc,121,1,3,4,true,4.77,379065,true
esbuild,364,0,3,5,true,0.2,390942,true
esbuild,364,1,3,5,true,0.19,390942,true
parcel,364,0,3,5,true,4.2,511463,true
parcel,364,1,3,5,true,4.11,511463,true
rollup,364,0,3,5,true,10.16,427838,true
rollup,364,1,3,5,true,10.14,427838,true
rollup-terser,364,0,3,5,true,10.52,428226,true
rollup-terser,364,1,3,5,true,10.62,428226,true
webpack,364,0,3,5,true,11.85,712780,true
webpack,364,1,3,5,true,11.8,712780,true
webpack-swc,364,0,3,5,true,10.76,887664,true
webpack-swc,364,1,3,5,true,10.96,887664,true
esbuild,6,0,5,1,true,0.17,136602,true
esbuild,6,1,5,1,true,0.17,136602,true
parcel,6,0,5,1,true,1.79,140763,true
parcel,6,1,5,1,true,1.84,140763,true
rollup,6,0,5,1,true,3.53,133055,true
rollup,6,1,5,1,true,3.54,133055,true
rollup-terser,6,0,5,1,true,3.1,136664,true
rollup-terser,6,1,5,1,true,3.1,136664,true
webpack,6,0,5,1,true,3.1,143052,true
webpack,6,1,5,1,true,3.12,143052,true
webpack-swc,6,0,5,1,true,2.05,139398,true
webpack-swc,6,1,5,1,true,2.08,139398,true
esbuild,31,0,5,2,true,0.17,153987,true
esbuild,31,1,5,2,true,0.17,153987,true
parcel,31,0,5,2,true,2.01,166200,true
parcel,31,1,5,2,true,2.06,166200,true
rollup,31,0,5,2,true,4.13,153256,true
rollup,31,1,5,2,true,4.14,153256,true
rollup-terser,31,0,5,2,true,3.74,156639,true
rollup-terser,31,1,5,2,true,3.81,156639,true
webpack,31,0,5,2,true,3.87,182242,true
webpack,31,1,5,2,true,3.92,182242,true
webpack-swc,31,0,5,2,true,2.66,191169,true
webpack-swc,31,1,5,2,true,2.63,191169,true
esbuild,156,0,5,3,true,0.18,241612,true
esbuild,156,1,5,3,true,0.18,241612,true
parcel,156,0,5,3,true,2.85,294159,true
parcel,156,1,5,3,true,2.76,294159,true
rollup,156,0,5,3,true,6.78,255006,true
rollup,156,1,5,3,true,6.72,255006,true
rollup-terser,156,0,5,3,true,6.53,257264,true
rollup-terser,156,1,5,3,true,6.54,257264,true
webpack,156,0,5,3,true,7.05,378285,true
webpack,156,1,5,3,true,7.05,378285,true
webpack-swc,156,0,5,3,true,5.56,451294,true
webpack-swc,156,1,5,3,true,5.54,451294,true
esbuild,781,0,5,4,true,0.24,683487,true
esbuild,781,1,5,4,true,0.23,683487,true
parcel,781,0,5,4,true,7.47,937560,true
parcel,781,1,5,4,true,7.41,937560,true
rollup,781,0,5,4,true,16.88,767506,true
rollup,781,1,5,4,true,17.72,767506,true
rollup-terser,781,0,5,4,true,18.11,764139,true
rollup-terser,781,1,5,4,true,17.91,764139,true
webpack,781,0,5,4,true,20.68,1372400,true
webpack,781,1,5,4,true,20.85,1372400,true
webpack-swc,781,0,5,4,true,24.84,1755669,true
webpack-swc,781,1,5,4,true,24.83,1755669,true
esbuild,3906,0,5,5,true,0.52,2933119,true
esbuild,3906,1,5,5,true,0.5,2933119,true
parcel,3906,0,5,5,true,69.98,4173515,true
parcel,3906,1,5,5,true,72.22,4173515,true
rollup,3906,0,5,5,true,82.43,3350716,true
rollup,3906,1,5,5,true,83.63,3350716,true
rollup-terser,3906,0,5,5,true,83.41,3319242,true
rollup-terser,3906,1,5,5,true,84.35,3319242,true
webpack,3906,0,5,5,true,91.95,6418093,true
webpack,3906,1,5,5,true,90.49,6418093,true
webpack-swc,3906,0,5,5,true,328.62,8320931,true
webpack-swc,3906,1,5,5,true,317.85,8320931,true
esbuild,8,0,7,1,true,0.18,137984,true
esbuild,8,1,7,1,true,0.17,137984,true
parcel,8,0,7,1,true,1.84,142777,true
parcel,8,1,7,1,true,1.79,142777,true
rollup,8,0,7,1,true,3.56,134663,true
rollup,8,1,7,1,true,3.6,134663,true
rollup-terser,8,0,7,1,true,3.2,138250,true
rollup-terser,8,1,7,1,true,3.17,138250,true
webpack,8,0,7,1,true,3.16,146136,true
webpack,8,1,7,1,true,3.2,146136,true
webpack-swc,8,0,7,1,true,2.09,143518,true
webpack-swc,8,1,7,1,true,2.1,143518,true
esbuild,57,0,7,2,true,0.18,172050,true
esbuild,57,1,7,2,true,0.18,172050,true
parcel,57,0,7,2,true,2.19,192568,true
parcel,57,1,7,2,true,2.26,192568,true
rollup,57,0,7,2,true,4.66,174254,true
rollup,57,1,7,2,true,4.65,174254,true
rollup-terser,57,0,7,2,true,4.32,177401,true
rollup-terser,57,1,7,2,true,4.29,177401,true
webpack,57,0,7,2,true,4.61,222836,true
webpack,57,1,7,2,true,4.63,222836,true
webpack-swc,57,0,7,2,true,3.25,245107,true
webpack-swc,57,1,7,2,true,3.19,245107,true
esbuild,400,0,7,3,true,0.2,412493,true
esbuild,400,1,7,3,true,0.2,412493,true
parcel,400,0,7,3,true,4.32,543295,true
parcel,400,1,7,3,true,4.33,543295,true
rollup,400,0,7,3,true,10.74,453456,true
rollup,400,1,7,3,true,10.67,453456,true
rollup-terser,400,0,7,3,true,10.9,453516,true
rollup-terser,400,1,7,3,true,11.04,453516,true
webpack,400,0,7,3,true,12.64,766008,true
webpack,400,1,7,3,true,12.54,766008,true
webpack-swc,400,0,7,3,true,11.71,958890,true
webpack-swc,400,1,7,3,true,11.67,958890,true
esbuild,2801,0,7,4,true,0.41,2121208,true
esbuild,2801,1,7,4,true,0.39,2121208,true
parcel,2801,0,7,4,true,40.12,3012426,true
parcel,2801,1,7,4,true,39.18,3012426,true
rollup,2801,0,7,4,true,54.71,2422276,true
rollup,2801,1,7,4,true,54.33,2422276,true
rollup-terser,2801,0,7,4,true,56.19,2400727,true
rollup-terser,2801,1,7,4,true,56.31,2400727,true
webpack,2801,0,7,4,true,63.51,4624816,true
webpack,2801,1,7,4,true,63.68,4624816,true
webpack-swc,2801,0,7,4,true,167.66,5984469,true
webpack-swc,2801,1,7,4,true,167.63,5984469,true
esbuild,19608,0,7,5,true,1.94,14287619,true
esbuild,19608,1,7,5,true,2.1,14287619,true
parcel,19608,0,7,5,true,2540.08,20397209,true
parcel,19608,1,7,5,true,2539.22,20397209,true
rollup,19608,0,7,5,true,257.68,0,false
rollup,19608,1,7,5,true,250.23,0,false
rollup-terser,19608,0,7,5,true,280.01,0,false
rollup-terser,19608,1,7,5,true,284.1,0,false
webpack,19608,0,7,5,true,354.51,0,false
webpack,19608,1,7,5,true,332.77,0,false
webpack-swc,19608,0,7,5,true,171.84,0,false
webpack-swc,19608,1,7,5,true,153.8,0,false
esbuild,2,0,1,1,false,0.2,133646,true
esbuild,2,1,1,1,false,0.19,133646,true
parcel,2,0,1,1,false,2.1,136414,true
parcel,2,1,1,1,false,2.02,136414,true
rollup,2,0,1,1,false,3.62,129592,true
rollup,2,1,1,1,false,3.43,129592,true
rollup-terser,2,0,1,1,false,3.01,133277,true
rollup-terser,2,1,1,1,false,3,133277,true
webpack,2,0,1,1,false,2.91,135722,true
webpack,2,1,1,1,false,2.9,135722,true
webpack-swc,2,0,1,1,false,1.97,130916,true
webpack-swc,2,1,1,1,false,1.94,130916,true
esbuild,3,0,1,2,false,0.17,134243,true
esbuild,3,1,1,2,false,0.17,134243,true
parcel,3,0,1,2,false,1.77,137279,true
parcel,3,1,1,2,false,1.87,137279,true
rollup,3,0,1,2,false,3.48,130279,true
rollup,3,1,1,2,false,3.47,130279,true
rollup-terser,3,0,1,2,false,2.99,133970,true
rollup-terser,3,1,1,2,false,3,133970,true
