bundler, components, iteration, children, depth, styles, time, bundle_size, success
esbuild,2,0,1,1,true,0.18,133838,true
esbuild,2,1,1,1,true,0.17,133838,true
esbuild,2,2,1,1,true,0.17,133838,true
parcel,2,0,1,1,true,1.73,136730,true
parcel,2,1,1,1,true,1.71,136730,true
parcel,2,2,1,1,true,1.71,136730,true
parcel-css,2,0,1,1,true,1.74,136728,true
parcel-css,2,1,1,1,true,1.65,136728,true
parcel-css,2,2,1,1,true,1.7,136728,true
rollup,2,0,1,1,true,3.34,129834,true
rollup,2,1,1,1,true,3.32,129834,true
rollup,2,2,1,1,true,3.29,129834,true
rollup-terser,2,0,1,1,true,2.94,133487,true
rollup-terser,2,1,1,1,true,2.87,133487,true
rollup-terser,2,2,1,1,true,2.91,133487,true
webpack,2,0,1,1,true,2.83,136884,true
webpack,2,1,1,1,true,2.76,136884,true
webpack,2,2,1,1,true,2.82,136884,true
webpack-esbuild,2,0,1,1,true,1.87,129779,true
webpack-esbuild,2,1,1,1,true,1.84,129779,true
webpack-esbuild,2,2,1,1,true,1.87,129779,true
webpack-swc,2,0,1,1,true,1.84,131172,true
webpack-swc,2,1,1,1,true,1.89,131172,true
webpack-swc,2,2,1,1,true,1.84,131172,true
vite,2,0,1,1,true,0.78,134278,true
vite,2,1,1,1,true,0.8,134278,true
vite,2,2,1,1,true,0.78,134278,true
esbuild,4,0,1,3,true,0.16,135238,true
esbuild,4,1,1,3,true,0.16,135238,true
esbuild,4,2,1,3,true,0.16,135238,true
parcel,4,0,1,3,true,1.73,138796,true
parcel,4,1,1,3,true,1.74,138796,true
parcel,4,2,1,3,true,1.7,138796,true
parcel-css,4,0,1,3,true,1.71,138784,true
parcel-css,4,1,1,3,true,1.71,138784,true
parcel-css,4,2,1,3,true,1.74,138784,true
rollup,4,0,1,3,true,3.49,131463,true
rollup,4,1,1,3,true,3.42,131463,true
rollup,4,2,1,3,true,3.39,131463,true
rollup-terser,4,0,1,3,true,2.99,135096,true
rollup-terser,4,1,1,3,true,2.98,135096,true
rollup-terser,4,2,1,3,true,2.97,135096,true
webpack,4,0,1,3,true,2.94,139982,true
webpack,4,1,1,3,true,2.96,139982,true
webpack,4,2,1,3,true,2.93,139982,true
webpack-esbuild,4,0,1,3,true,1.9,131171,true
webpack-esbuild,4,1,1,3,true,1.91,131171,true
webpack-esbuild,4,2,1,3,true,1.9,131171,true
webpack-swc,4,0,1,3,true,1.92,135310,true
webpack-swc,4,1,1,3,true,1.94,135310,true
webpack-swc,4,2,1,3,true,1.9,135310,true
vite,4,0,1,3,true,0.79,135748,true
vite,4,1,1,3,true,0.8,135748,true
vite,4,2,1,3,true,0.81,135748,true
esbuild,6,0,1,5,true,0.16,136662,true
esbuild,6,1,1,5,true,0.16,136662,true
esbuild,6,2,1,5,true,0.16,136662,true
parcel,6,0,1,5,true,1.76,140882,true
parcel,6,1,1,5,true,1.74,140882,true
parcel,6,2,1,5,true,1.74,140882,true
parcel-css,6,0,1,5,true,1.73,140860,true
parcel-css,6,1,1,5,true,1.71,140860,true
parcel-css,6,2,1,5,true,1.75,140860,true
rollup,6,0,1,5,true,3.52,133111,true
rollup,6,1,1,5,true,3.41,133111,true
rollup,6,2,1,5,true,3.5,133111,true
rollup-terser,6,0,1,5,true,3.04,136724,true
rollup-terser,6,1,1,5,true,3.06,136724,true
rollup-terser,6,2,1,5,true,3.05,136724,true
webpack,6,0,1,5,true,3.06,143108,true
webpack,6,1,1,5,true,3.01,143108,true
webpack,6,2,1,5,true,3.07,143108,true
webpack-esbuild,6,0,1,5,true,1.97,132587,true
webpack-esbuild,6,1,1,5,true,1.92,132587,true
webpack-esbuild,6,2,1,5,true,1.93,132587,true
webpack-swc,6,0,1,5,true,1.99,139472,true
webpack-swc,6,1,1,5,true,1.96,139472,true
webpack-swc,6,2,1,5,true,2.01,139472,true
vite,6,0,1,5,true,0.8,137237,true
vite,6,1,1,5,true,0.81,137237,true
vite,6,2,1,5,true,0.81,137237,true
esbuild,4,0,3,1,true,0.16,135220,true
esbuild,4,1,3,1,true,0.16,135220,true
esbuild,4,2,3,1,true,0.16,135220,true
parcel,4,0,3,1,true,1.75,138747,true
parcel,4,1,3,1,true,1.74,138747,true
parcel,4,2,3,1,true,1.75,138747,true
parcel-css,4,0,3,1,true,1.72,138735,true
parcel-css,4,1,3,1,true,1.74,138735,true
parcel-css,4,2,3,1,true,1.72,138735,true
rollup,4,0,3,1,true,3.43,131447,true
rollup,4,1,3,1,true,3.47,131447,true
rollup,4,2,3,1,true,3.4,131447,true
rollup-terser,4,0,3,1,true,3.03,135078,true
rollup-terser,4,1,3,1,true,3.03,135078,true
rollup-terser,4,2,3,1,true,3.07,135078,true
webpack,4,0,3,1,true,2.94,139968,true
webpack,4,1,3,1,true,2.99,139968,true
webpack,4,2,3,1,true,2.94,139968,true
webpack-esbuild,4,0,3,1,true,1.89,131153,true
webpack-esbuild,4,1,3,1,true,1.87,131153,true
webpack-esbuild,4,2,3,1,true,1.91,131153,true
webpack-swc,4,0,3,1,true,1.96,135292,true
webpack-swc,4,1,3,1,true,1.93,135292,true
webpack-swc,4,2,3,1,true,1.93,135292,true
vite,4,0,3,1,true,0.82,135730,true
vite,4,1,3,1,true,0.81,135730,true
vite,4,2,3,1,true,0.81,135730,true
esbuild,40,0,3,3,true,0.17,160416,true
esbuild,40,1,3,3,true,0.17,160416,true
esbuild,40,2,3,3,true,0.17,160416,true
parcel,40,0,3,3,true,1.95,175627,true
parcel,40,1,3,3,true,2.04,175627,true
parcel,40,2,3,3,true,1.98,175627,true
parcel-css,40,0,3,3,true,2.05,175435,true
parcel-css,40,1,3,3,true,2.01,175435,true
parcel-css,40,2,3,3,true,1.99,175435,true
rollup,40,0,3,3,true,4.27,160700,true
rollup,40,1,3,3,true,4.24,160700,true
rollup,40,2,3,3,true,4.27,160700,true
rollup-terser,40,0,3,3,true,3.86,164004,true
rollup-terser,40,1,3,3,true,3.96,164004,true
rollup-terser,40,2,3,3,true,3.78,164004,true
