bundler, components, iteration, children, depth, styles, time, bundle_size, success
esbuild,2,0,1,1,false,0.19,133646,true
esbuild,2,1,1,1,false,0.18,133646,true
esbuild,2,2,1,1,false,0.17,133646,true
parcel,2,0,1,1,false,2.12,136414,true
parcel,2,1,1,1,false,2.15,136414,true
parcel,2,2,1,1,false,2.02,136414,true
parcel-css,2,0,1,1,false,1.86,136422,true
parcel-css,2,1,1,1,false,1.73,136422,true
parcel-css,2,2,1,1,false,1.87,136422,true
rollup,2,0,1,1,false,3.77,129592,true
rollup,2,1,1,1,false,3.46,129592,true
rollup,2,2,1,1,false,3.46,129592,true
rollup-terser,2,0,1,1,false,3.05,133277,true
rollup-terser,2,1,1,1,false,3.03,133277,true
rollup-terser,2,2,1,1,false,3.07,133277,true
webpack,2,0,1,1,false,2.88,135722,true
webpack,2,1,1,1,false,2.86,135722,true
webpack,2,2,1,1,false,2.91,135722,true
webpack-esbuild,2,0,1,1,false,1.93,129537,true
webpack-esbuild,2,1,1,1,false,1.89,129537,true
webpack-esbuild,2,2,1,1,false,1.95,129537,true
webpack-swc,2,0,1,1,false,1.9,130930,true
webpack-swc,2,1,1,1,false,1.88,130930,true
webpack-swc,2,2,1,1,false,1.94,130930,true
vite,2,0,1,1,false,0.81,134084,true
vite,2,1,1,1,false,0.83,134084,true
vite,2,2,1,1,false,0.85,134084,true
esbuild,4,0,1,3,false,0.17,134842,true
esbuild,4,1,1,3,false,0.2,134842,true
esbuild,4,2,1,3,false,0.17,134842,true
parcel,4,0,1,3,false,1.93,138146,true
parcel,4,1,1,3,false,1.89,138146,true
parcel,4,2,1,3,false,1.86,138146,true
parcel-css,4,0,1,3,false,2.08,138154,true
parcel-css,4,1,1,3,false,1.96,138154,true
parcel-css,4,2,1,3,false,1.91,138154,true
rollup,4,0,1,3,false,3.87,130963,true
rollup,4,1,1,3,false,3.72,130963,true
rollup,4,2,1,3,false,3.63,130963,true
rollup-terser,4,0,1,3,false,3.09,134660,true
rollup-terser,4,1,1,3,false,3.12,134660,true
rollup-terser,4,2,1,3,false,3.04,134660,true
